'Lamaran';'Buluga';'Adler';'Greifvögel';'Gebirge, Steilküsten, lichte Wälder, Waldränder';'k.A.';'Bestiarium, S.127'
'Lamaran';'Buluga';'Alwe';'Naturgeister';'Zauberwälder';'k.A.';'Bestiarium, S.227'
'Lamaran';'Buluga';'Ameisenbär';'Faultiere';'k.A.';'k.A.';'Heisses Land Buluga, S.78'
'Lamaran';'Buluga';'Antilope';'Antilopen & Gazellen';'Steppen, Savannen, Gebirge in warmen Ländern';'k.A.';'Bestiarium, S.39'
'Lamaran';'Buluga';'Basilisk';'Schlangenartige';'Großer Graben, Joliba';'k.A.';'Bestiarium, S.270'
'Lamaran';'Buluga';'Baumhirte';'Naturgeister';'urtümliche Wälder';'k.A.';'Bestiarium, S.227'
'Lamaran';'Buluga';'Baumseele';'Naturgeister';'k.A.';'Eichen-, Weiden- und Birkenseele';'Bestiarium, S.229'
'Lamaran';'Buluga';'Blitzfalter';'Insekten';'Höhlen und Kavernen';'k.A.';'Bestiarium, S.156'
'Lamaran';'Buluga';'Blutegel';'Würmer';'Sümpfe, Teiche, Bachufer und andere flache, ruhige Gewässer';'k.A.';'Bestiarium, S.362'
'Lamaran';'Buluga';'Blutfalter';'Insekten';'k.A.';'k.A.';'Bestiarium, S.156'
'Lamaran';'Buluga';'Camelopard';'Säugetiere';'k.A.';'auch "Windläufer" genannt (heute: "Giraffe")';'Heisses Land Buluga, S.80'
'Lamaran';'Buluga';'Chamäleonotter';'Schlangen';'k.A.';'k.A.';'Heisses Land Buluga, S.79'
'Lamaran';'Buluga';'Die-bei-der-ein-tapferer-Mann-nach-Luft-schnappt';'Spinnentiere';'k.A.';'k.A.';'Heisses Land Buluga, S.79'
'Lamaran';'Buluga';'Dongo';'Hunde';'Savannen in Küstennähe';'k.A.';'Heisses Land Buluga, S.80'
'Lamaran';'Buluga';'Donnerechse';'Saurier';'Dschungel und Savannen';'in Buluga als "Großes Einhorn" bekannt';'Bestiarium, S.260'
'Lamaran';'Buluga';'Drachenechse';'Drachenähnliche';'Hochebenen';'k.A.';'Bestiarium, S.65'
'Lamaran';'Buluga';'Echsenmensch';'Tiermenschen';'Sümpfe, Flüsse, Binnenseen und Feuchtgebiete';'k.A.';'Bestiarium, S.294'
'Lamaran';'Buluga';'Einhörnchen';'Nagetiere';'Bergwälder';'k.A.';'Bestiarium, S.221'
'Lamaran';'Buluga';'Elefant';'Dickhäuter';'Savannen';'k.A.';'Bestiarium, S.52'
'Lamaran';'Buluga';'Elefantenvogel';'Vögel';'Wälder im Südosten';'k.A.';'Heisses Land Buluga, S.80'
'Lamaran';'Buluga';'Elster';'Rabenvögel';'überall ausser in Wüste, Steppe und Eisöde';'k.A.';'Bestiarium, S.249'
'Lamaran';'Buluga';'Emu';'Laufvögel';'k.A.';'k.A.';'Heisses Land Buluga, S.78'
'Lamaran';'Buluga';'Erdferkel';'k.A.';'k.A.';'k.A.';'Heisses Land Buluga, S.78'
'Lamaran';'Buluga';'Erdmännchen';'Schleichkatzen';'Savannen';'auch "Ulimwengudume" genannt';'Bestiarium, S.273'
'Lamaran';'Buluga';'Esel';'Pferde & Kamele';'Gras- und Hügelländer';'z.B. Maultier, Maulesel';'Bestiarium, S.242'
'Lamaran';'Buluga';'Falke';'Greifvögel';'k.A.';'k.A.';'Bestiarium, S.129'
'Lamaran';'Buluga';'Falsches Känguruh';'Säugetiere';'grasreiche Savannen';'k.A.';'Heisses Land Buluga, S.84'
'Lamaran';'Buluga';'Federechse';'Echsen';'Wälder im Osten';'k.A.';'Bestiarium, S.73'
'Lamaran';'Buluga';'Feenfalter';'Insekten';'k.A.';'bes. in Zauberwäldern';'Bestiarium, S.157'
'Lamaran';'Buluga';'Felsenkänguruh';'Säugetiere';'grasreiche Savannen';'auch "Tremuru" genannt';'Heisses Land Buluga, S.83'
'Lamaran';'Buluga';'Felswurm';'Würmer';'in großer Tiefe unter der Erde';'k.A.';'Bestiarium, S.363'
'Lamaran';'Buluga';'Feuerfliege';'Insekten';'Höhlen (groß und warm)';'k.A.';'Bestiarium, S.158'
'Lamaran';'Buluga';'Feuervogel';'Vögel';'Küsten und Seen im Süden, Westen und Norden';'k.A.';'Heisses Land Buluga, S.80'
'Lamaran';'Buluga';'Fledermaus';'Fledermäuse';'k.A.';'diverse Arten';'Heisses Land Buluga, S.78'
'Lamaran';'Buluga';'Fledermausmensch';'Tiermenschen';'Dogon Berge und umliegende Wälder';'auch "Samsanobonsa" genannt';'Heisses Land Buluga, S.81'
'Lamaran';'Buluga';'Floh';'Insekten';'k.A.';'z.B. Rattenfloh';'Bestiarium, S.159'
